연번,지정번호,업소명,업종,대표자,읍면동,행정동,소재지주소,데이터기준일자
49,천안-2019-143,서정헤어코디,이미용업,서영자,신방동,신방동,"천안시 동남구 일봉로 20, 상가동 203호(신방동)",2026-03-26
50,천안-2019-144,박정미5000냥헤어,이미용업,박정미,사직동,중앙동,천안시 동남구 대흥로 127 (사직동),2026-03-26
51,천안-2019-146,삼양순대,한식,한양숙,대흥동,중앙동,천안시 동남구 공설시장1길 9 (대흥동),2026-03-26
52,천안-2019-149,굿모닝호텔,숙박업,전경상,쌍용동,쌍용1동,천안시 서북구 차돌들길 11-5(쌍용동),2026-03-26
53,천안-2019-152,사천냥클럽,이미용업,김양옥,두정동,부성1동,천안시 서북구 두정로 271(두정동),2026-03-26
54,천안-2019-154,물들임천연염색,이미용업,박윤선,쌍용동,쌍용1동,천안시 서북구 미라7길13(쌍용동),2026-03-26
55,천안-2019-156,국빈4000냥미용실,이미용업,김화순,사직동,중앙동,천안시 동남구 대흥로 132-2(사직동),2026-03-26
56,천안-2020-157,복돼지,한식,양인석,구성동,청룡동,천안시 동남구 충절로 262(구성동),2026-03-26
57,천안-2020-158,루미너스헤어,이미용업,이화월,성정동,성정2동,천안시 서북구 서부12길12(성정동),2026-03-26
58,천안-2020-159,이화미용실,이미용업,박정화,쌍용동,쌍용2동,"천안시 서북구 충무로 158-10, 2층(쌍용2동)",2026-03-26
59,천안-2020-160,넘버원남성컷트,이미용업,김연주,두정동,부성1동,천안시 서북구 두정로 263(두정동),2026-03-26
60,천안-2020-161,동은헤어,이미용업,이동숙,신방동,신방동,"천안시 동남구 새말3길 38-4, 지하1층(신방동)",2026-03-26
61,천안-2020-165,젠틀맨헤어남성커트,이미용업,박정희,백석동,백석동,천안시 서북구 백석4길 23(백석동),2026-03-26
62,천안-2020-168,박정미5000냥헤어2호점,이미용업,원유준,영성동,중앙동,천안시 동남구 영성로 36(영성동),2026-03-26
63,천안-2020-171,소망미용실,이미용업,정상순,구성동,청룡동,천안시 동남구 구성5길 31(구성동),2026-03-26
64,천안-2020-172,겨자씨카페,기타요식업,이상천,사직동,중앙동,천안시 동남구 사직로 10-6(사직동),2026-03-26
65,천안-2020-173,옛김포식당,한식,정혜경,사직동,중앙동,천안시 동남구 영성로 25-19(사직동),2026-03-26
66,천안-2021-174,준헤어미용실,이미용업,이종란,병천면,병천면,천안시 동남구 병천면 충절로 1745,2026-03-26
67,천안-2021-175,지니헤어,이미용업,이명례,성정동,성정1동,"천안시 서북구 개목8길 31, 1층(성정1동)",2026-03-26
68,천안-2021-176,커트클럽,이미용업,서수정,불당동,불당1동,"천안시 서북구 검은들3길 38, 102호(불당동)",2026-03-26
69,천안-2022-179,가마솥 선지국밥,한식,최기봉,사직동,중앙동,"천안시 동남구 사직로 2-2, 1층(사직동)",2026-03-26
70,천안-2022-180,낙지도사,한식,이승호,봉명동,봉명동,천안시 동남구 백석로 184(봉명동),2026-03-26
71,천안-2022-181,공감정육식당,한식,김미영,구성동,청룡동,천안시 동남구 구성1길 10(구성동),2026-03-26
72,천안-2023-182,쌍용동사진관,기타비요식업,이남정,쌍용동,쌍용1동,천안시 서북구 미라3길 27(쌍용동),2026-03-26
73,천안-2023-183,비비헤어샵,이미용업,배연희,쌍용동,쌍용1동,천안시 서북구 미라2길 26-1(쌍용동),2026-03-26
74,천안-2023-184,타코찡,일식,지수경,두정동,부성2동,천안시 서북구 원두정6길 14(두정동),2026-03-26
75,천안-2023-186,과수원길,한식,정현숙,성성동,부성2동,천안시 서북구 업성1길 7(성성동),2026-03-26
76,천안-2023-187,우리집한식뷔페,한식,설재상,입장면,입장면,천안시 서북구 입장면 연곡길 166,2026-03-26
77,천안-2023-188,윤경이네분식,한식,김광혁,원성동,원성2동,천안시 동남구 버들1길 29(원성동),2026-03-26
78,천안-2023-190,문헤어갤러리,이미용업,문명숙,쌍용동,쌍용1동,천안시 서북구 미라14길 20(쌍용동),2026-03-26
